[INFO] [1695910151.954945, 0.000000]: Waiting for clock
[INFO] [1695910159.692482, 1539699406.738272]: Error (in mm): 1.73
[INFO] [1695910159.694799, 1539699406.738272]: Error (in mm): 1.73
[INFO] [1695910159.702538, 1539699406.748345]: Error (in mm): 1.73
[INFO] [1695910159.704559, 1539699406.748345]: Error (in mm): 1.74
[INFO] [1695910159.712699, 1539699406.758415]: Error (in mm): 1.74
[INFO] [1695910159.714627, 1539699406.758415]: Error (in mm): 1.74
[INFO] [1695910159.723071, 1539699406.768486]: Error (in mm): 1.75
[INFO] [1695910159.725097, 1539699406.768486]: Error (in mm): 1.75
[INFO] [1695910159.732736, 1539699406.778549]: Error (in mm): 1.75
[INFO] [1695910159.735066, 1539699406.778549]: Error (in mm): 1.75
[INFO] [1695910159.742924, 1539699406.788636]: Error (in mm): 1.76
[INFO] [1695910159.745293, 1539699406.788636]: Error (in mm): 1.76
[INFO] [1695910159.752675, 1539699406.798705]: Error (in mm): 1.75
[INFO] [1695910159.754669, 1539699406.798705]: Error (in mm): 1.75
[INFO] [1695910159.762943, 1539699406.808794]: Error (in mm): 1.75
[INFO] [1695910159.765366, 1539699406.808794]: Error (in mm): 1.75
[INFO] [1695910159.773068, 1539699406.818863]: Error (in mm): 1.74
[INFO] [1695910159.775266, 1539699406.818863]: Error (in mm): 1.74
[INFO] [1695910159.783152, 1539699406.828934]: Error (in mm): 1.74
[INFO] [1695910159.784971, 1539699406.828934]: Error (in mm): 1.74
[INFO] [1695910159.793243, 1539699406.839012]: Error (in mm): 1.74
[INFO] [1695910159.795574, 1539699406.839012]: Error (in mm): 1.74
[INFO] [1695910159.803313, 1539699406.849077]: Error (in mm): 1.76
[INFO] [1695910159.805609, 1539699406.849077]: Error (in mm): 1.76
[INFO] [1695910159.813618, 1539699406.859183]: Error (in mm): 1.76
[INFO] [1695910159.815133, 1539699406.859183]: Error (in mm): 1.76
[INFO] [1695910159.823534, 1539699406.869314]: Error (in mm): 1.76
[INFO] [1695910159.825793, 1539699406.869314]: Error (in mm): 1.76
[INFO] [1695910159.834154, 1539699406.879413]: Error (in mm): 1.76
[INFO] [1695910159.837178, 1539699406.879413]: Error (in mm): 1.76
[INFO] [1695910159.843949, 1539699406.889477]: Error (in mm): 1.76
[INFO] [1695910159.846247, 1539699406.889477]: Error (in mm): 1.76
[INFO] [1695910159.853751, 1539699406.899540]: Error (in mm): 1.71
[INFO] [1695910159.855912, 1539699406.899540]: Error (in mm): 1.71
[INFO] [1695910159.863912, 1539699406.909634]: Error (in mm): 1.71
[INFO] [1695910159.866611, 1539699406.909634]: Error (in mm): 1.71
[INFO] [1695910159.874045, 1539699406.919706]: Error (in mm): 1.73
[INFO] [1695910159.876153, 1539699406.919706]: Error (in mm): 1.73
[INFO] [1695910159.884121, 1539699406.929784]: Error (in mm): 1.73
[INFO] [1695910159.886846, 1539699406.929784]: Error (in mm): 1.74
[INFO] [1695910159.894284, 1539699406.939862]: Error (in mm): 1.74
[INFO] [1695910159.896536, 1539699406.939862]: Error (in mm): 1.74
